Station Code,Station Name,ICS Code,Postcode
"SVK","Seven Kings","910GSVNKNGS","IG38LP"
"SVS","Seven Sisters","910GSTOTNHM","N155ES"
"SYD","Sydenham","910GSYDENHM","SE265QT"
"SYH","Sydenham Hill","910GSYDNHMH","SE217LZ"
"SYL","Syon Lane","910GSYONLA","TW89DU"
"TED","Teddington","910GTEDNGTN","TW119BQ"
"TOM","Tottenham Hale","910GTTNHMHL","N179LJ"
"TOO","Tooting","910GTOOTING","SW179SR"
"TUH","Tulse Hill","910GTULSEH","SE218JB"
"TUR","Turkey Street","910GTURKYST","EN14QG"
"TWI","Twickenham","910GTWCKNHM","TW11HD"
"UHL","Upper Holloway","910GUPRHLWY","N193JF"
"UPM","Upminster","910GUPMNSTR","RM141UP"
"VIC","Victoria","910GVICTRIC","SW1E5ND"
"VXH","Vauxhall","910GVAUXHLM","SW82LS"
"WAE","Waterloo East","910GWLOE","SE19NQ"
"WAT","Waterloo","910GWATRLMN","SE17ND"
"WBO","Wimbledon Chase","910GWIMLCHS","SW208LU"
"WBP","West Brompton","910GWBRMPTN","SW59JX"
"WCB","Westcombe Park","910GWCOMBEP","SE100LY"
"WCP","Worcester Park","910GWRCSTRP","KT47NX"
"WCX","Wembley Stadium","910GWEMBLSM","HA98RT"
"WCY","West Croydon","910GWCROYDN","CR03SQ"
"WDO","Waddon","910GWADDON","CR04NX"
"WDT","West Drayton","910GWDRYTON","UB78ED"
"WDU","West Dulwich","910GWDULWCH","SE218HN"
"WEA","West Ealing","910GWEALING","W130LD"
"WEH","West Ham","910GWHAMHL","E153AU"
"WGR","Woodgrange Park","910GWDGRNPK","E78AY"
"WHC","Walthamstow Central","910GWLTWCEN","E177JU"
"WHD","West Hampstead","910GWHMPSTM","NW61PG"
"WHL","White Hart Lane","910GWHHRTLA","N178DX"
"WHP","West Hampstead Thameslink","910GWHMDSTD","NW61QU"
"WIH","Winchmore Hill","910GWNMHILL","N211BE"
"WIJ","Willesden Junction","910GWLSDJHL","NW104XA"
"WIM","Wimbledon","910GWDON","SW197QG"
"WLI","Welling","910GWELLING","DA163JA"
"WLT","Wallington","910GWALNGTN","SM60EL"
"WMB","Wembley Central","910GWMBY","HA97JD"
"WME","Woodmansterne","910GWDMNSTR","CR53JD"
"WMP","WMP","Wimbledon Park","940GZZLUWIP","SW197HR"
"WMW","Walthamstow Queens Road","910GWLTHQRD","E177QS"
"WNP","Wanstead Park","910GFRSTGT","E70HB"
"WNT","Wandsworth Town","910GWDWTOWN","SW181AZ"
"WNW","West Norwood","910GWNORWOD","SE270JW"
"WOW","Woolwich Crossrail",,
"WRU","West Ruislip","910GWRUISLP","HA47DP"
"WST","Wood Street","910GWDST","E173TJ"
"WSW","Wandsworth Common","910GWANDCMN","SW128NL"
"WTN","Whitton (London)","910GWHTTON","TW27LW"
"WWA","Woolwich Arsenal","910GWOLWCHA","SE186LF"
"WWD","Woolwich Dockyard","910GWOLWCDY","SE185QB"
"WWI","West Wickham","910GWWICKHM","BR40EQ"
"WWR","Wandsworth Road","910GWNDSWRD","SW84TP"
"ZAD","ALD","Aldgate","940GZZLUALD","EC3N1AH"
"ZAE","ALE","Aldgate East","940GZZLUADE","E17PT"
"ZAG","AGR","Arnos Grove","940GZZLUASG","N111AN"
"ZAL","ARL","Arsenal","940GZZLUASL","N51LP"
"ZAN","ANG","Angel","940GZZLUAGL","EC1V1NE"
"ZAP","ALP","Alperton","940GZZLUALP","HA04LL"
