CRS Code,Station Name,Sixteen Character Name,Longitude,Latitude,Station Operator,National Location Code,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Ticket Office Mon-Fri Start,Ticket Office Mon-Fri End,Ticket Office Sat Start,Ticket Office Sat End,Ticket Office Sun Start,Ticket Office Sun End,Toilets Available,Wheelchairs Available
CLE,Cleethorpes,CLEETHORPES,-0.029217393,53.56192407,TP,627400,,,,,,06:45:00.000,19:30:00.000,06:45:00.000,19:30:00.000,09:00:00.000,19:30:00.000,true,true
CEA,Cleland,CLELAND,-3.910243709,55.80463945,SR,971800,,,,,,,,,,,,false,
CLI,Clifton (Manchester),CLIFTON MANCHR,-2.314143209,53.52223401,NT,279500,,,,,,,,,,,,false,
CFN,Clifton Down,CLIFTON DOWN,-2.611749153,51.46454417,GW,320200,,,,,,,,,,,,false,
CLH,Clitheroe,CLITHEROE.,-2.394338568,53.87347985,NT,257400,,,,,,,,,,,,false,
CLK,Clock House,CLOCK HOUSE,-0.040650863,51.40858783,SE,504800,,,,,,06:10:00.000,19:30:00.000,07:20:00.000,13:50:00.000,,,false,
CUW,Clunderwen,CLUNDERWEN,-4.731878812,51.84054563,AW,407000,,,,,,,,,,,,false,false
CYK,Clydebank,CLYDEBANK,-4.404218143,55.90067284,SR,985500,,,,,,07:30:00.000,14:34:00.000,09:50:00.000,16:50:00.000,,,true,false
CBC,Coatbridge Central,COATBRIDGE CTL,-4.032397297,55.86315609,SR,974700,,,,,,,,,,,,false,false
CBS,Coatbridge Sunnyside,COATBRIDGE SSIDE,-4.028277989,55.86690882,SR,975200,,,,,,05:46:00.000,19:34:00.000,05:46:00.000,19:34:00.000,08:30:00.000,16:00:00.000,false,false
COA,Coatdyke,COATDYKE,-4.004970414,55.86433402,SR,976200,,,,,,,,,,,,false,false
CSD,Cobham & Stoke d'Abernon,-,-0.389336167,51.31810024,SW,555700,,,,,,06:20:00.000,13:15:00.000,08:00:00.000,14:00:00.000,,,,false
CSL,Codsall,CODSALL,-2.201767313,52.62730174,WM,461600,,,,,,,,,,,,false,
CGN,Cogan,COGAN,-3.189100075,51.4459927,AW,382800,,,,,,,,,,,,false,
COL,Colchester,COLCHESTER.,0.89347015,51.90061619,LE,686100,,,,,,05:00:00.000,22:00:00.000,05:30:00.000,21:00:00.000,06:00:00.000,21:00:00.000,true,true
CET,Colchester Town,COLCHESTER TOWN,0.904148555,51.8865294,LE,685300,,,,,,06:10:00.000,20:15:00.000,07:00:00.000,18:45:00.000,,,true,
CEH,Coleshill Parkway,Coleshill Parkwy,-1.708183055,52.5165359,WM,988200,,,,,,06:00:00.000,22:45:00.000,06:00:00.000,22:45:00.000,10:00:00.000,17:00:00.000,true,true
CLM,Collingham,COLLINGHAM,-0.750383181,53.14411144,EM,634900,,,,,,,,,,,,false,
CLL,Collington,COLLINGTON,0.457878337,50.8392821,SN,545700,,,,,,,,,,,,false,false
CNE,Colne,COLNE,-2.1811716,53.85484616,NT,256200,,,,,,,,,,,,false,
CWL,Colwall,COLWALL,-2.356962163,52.07987584,WM,487600,,,,,,,,,,,,false,
CWB,Colwyn Bay,COLWYN BAY,-3.725430748,53.29637709,AW,245100,,,,,,,,06:15:00.000,19:30:00.000,09:10:00.000,16:40:00.000,true,true
CME,Combe (Oxon),COMBE (OXON),-1.392901935,51.83234296,GW,300500,,,,,,,,,,,,false,false
COM,Commondale,COMMONDALE,-0.974983944,54.48182216,NT,751500,,,,,,,,,,,,false,
CNG,Congleton,CONGLETON,-2.192581008,53.15787409,NT,122700,,,,,,06:30:00.000,13:40:00.000,07:30:00.000,13:40:00.000,,,false,
CNS,Conisbrough,CONISBROUGH,-1.234332884,53.48932729,NT,648800,,,,,,,,,,,,false,
